StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2,Q5,Q4,Q3_1,Q3_2,Q3_3,Q3_4,Q6,Q7,Q1,Q1_7_TEXT,Q8,Q9,Q10,Q11,Q12,Q12_7_TEXT,Q13,Q14,Q15_1,Q15_2,Q15_3,Q17,Q18,Q18_3_TEXT,MTurkCode,condition_number,condition
2025-04-03 21:10:46,2025-04-03 21:15:27,0,216.16.29.218,100,281,1,2025-04-03 21:15:28,R_1J2V0N2KihATdfT,,,,,43.4766,-96.7052,anonymous,EN,5,4,5,5,6,5,5,5,4,"1,3",,5,4,5,1,5,,4,5,5,4,5,61,2,,91311926,0,multiple
2025-04-03 21:12:53,2025-04-03 21:16:34,0,174.244.80.159,100,221,1,2025-04-03 21:16:35,R_7FJuQafhpc2UhMn,,,,,30.2424,-97.767,anonymous,EN,7,7,6,7,7,7,7,7,"1,2,3,4","1,2,3",,7,6,6,1,3,,7,7,7,7,7,38,1,,54107079,1,single
2025-04-03 21:11:49,2025-04-03 21:16:54,0,75.168.85.216,100,305,1,2025-04-03 21:16:55,R_1TWUykvqm8JDdxf,,,,,44.9985,-93.3029,anonymous,EN,5,5,6,4,3,5,5,5,"1,4","2,3",,5,6,5,0,4,,5,5,5,5,5,37,1,,51871431,1,single
2025-04-03 21:14:13,2025-04-03 21:18:00,0,66.179.68.1,100,226,1,2025-04-03 21:18:00,R_5pu6DKdysxqHAk1,,,,,30.011,-81.4108,anonymous,EN,3,3,4,2,3,3,2,5,"1,4","6,7",The influencer did a poor job displaying the item - looked cheaply done,4,3,4,0,6,,2,1,3,2,3,54,1,,30706024,1,single
2025-04-03 21:15:56,2025-04-03 21:19:31,0,99.35.20.108,100,215,1,2025-04-03 21:19:32,R_5vPOX62lKz2zqPD,,,,,37.5625,-122.0004,anonymous,EN,6,5,5,4,3,5,2,7,4,4,,5,3,2,1,6,,5,5,3,4,3,61,1,,11503160,0,multiple
2025-04-03 21:18:36,2025-04-03 21:20:30,0,69.151.115.99,100,113,1,2025-04-03 21:20:30,R_1CqmNwNywyfc70B,,,,,33.8088,-84.2815,anonymous,EN,1,1,3,1,2,1,1,1,5,6,,2,3,1,0,4,,1,1,1,1,1,33,1,,49126954,1,single
2025-04-03 21:14:57,2025-04-03 21:20:31,0,68.206.174.179,100,333,1,2025-04-03 21:20:31,R_7d6ONifgNZzqYDL,,,,,31.056,-97.4644,anonymous,EN,6,5,6,5,6,4,2,5,"1,4","2,3,6",,5,5,5,0,2,,3,5,5,6,6,38,1,,46617081,1,single
2025-04-03 21:18:47,2025-04-03 21:20:33,0,96.249.152.149,100,106,1,2025-04-03 21:20:34,R_35lVwubFbXoIZeV,,,,,40.275,-76.8039,anonymous,EN,1,1,1,1,1,1,1,7,"1,4",6,,1,1,1,0,6,,1,1,1,1,1,33,1,,66504009,1,single
2025-04-03 21:14:32,2025-04-03 21:20:41,0,174.195.40.55,100,368,1,2025-04-03 21:20:41,R_7opU5GUVocupcwe,,,,,33.8513,-84.287,anonymous,EN,6,6,5,6,5,6,4,5,5,6,,4,1,1,0,2,,4,1,4,3,4,55,1,,22180857,0,multiple
2025-04-03 21:17:30,2025-04-03 21:20:50,0,174.86.201.249,100,200,1,2025-04-03 21:20:51,R_6MOZBntPF9HqcIV,,,,,38.7808,-90.6355,anonymous,EN,2,4,3,2,1,2,2,2,5,6,,2,4,1,0,6,,1,1,2,2,2,28,1,,78930563,1,single
2025-04-03 21:17:54,2025-04-03 21:21:32,0,68.198.171.253,100,217,1,2025-04-03 21:21:32,R_5EbCcPK1qlHPjRp,,,,,40.9451,-74.2531,anonymous,EN,2,3,4,2,1,3,1,2,"1,4","4,6",,2,2,3,0,6,,1,1,1,2,1,38,1,,68542952,0,multiple
2025-04-03 21:18:16,2025-04-03 21:22:15,0,174.180.81.132,100,239,1,2025-04-03 21:22:16,R_62DP4Ouk6QoPLH8,,,,,42.1261,-72.486,anonymous,EN,7,7,4,7,7,7,7,4,5,3,,4,4,4,0,3,,7,6,7,7,7,39,1,,12967881,0,multiple
2025-04-03 21:20:31,2025-04-03 21:22:30,0,68.62.132.158,100,118,1,2025-04-03 21:22:31,R_5jeeoCIldiaAbqp,,,,,33.2716,-87.5362,anonymous,EN,2,1,4,3,2,2,2,2,1,6,,4,4,2,0,6,,1,1,2,2,2,37,1,,27005058,0,multiple
2025-04-03 21:17:11,2025-04-03 21:22:36,0,172.58.183.3,100,324,1,2025-04-03 21:22:36,R_5sGlruU16j6Bk1H,,,,,32.7319,-96.9057,anonymous,EN,6,4,4,2,5,4,4,7,"1,4",7,indifferent,1,4,4,0,7,indifferent,2,1,4,1,1,39,2,,80709596,1,single
2025-04-03 21:16:04,2025-04-03 21:23:18,0,172.98.32.157,100,434,1,2025-04-03 21:23:18,R_5qeBLQe3G5UAzTS,,,,,38.894,-77.0365,anonymous,EN,7,7,6,7,7,7,7,7,"1,2,3,4","1,2,3,5",,5,6,7,1,3,,7,7,7,7,6,70,1,,78287140,0,multiple
2025-04-03 21:20:39,2025-04-03 21:23:33,0,73.229.171.182,100,173,1,2025-04-03 21:23:33,R_6rjF381SRrU2bK3,,,,,39.7128,-105.0953,anonymous,EN,3,2,3,2,2,3,1,2,1,"4,6",,2,2,2,0,6,,1,1,2,2,2,40,1,,24675289,0,multiple
2025-04-03 21:21:50,2025-04-03 21:24:29,0,97.87.4.154,100,159,1,2025-04-03 21:24:30,R_7JgeDk7UrPWndpO,,,,,43.1899,-89.2185,anonymous,EN,3,5,4,4,2,2,3,5,4,4,,4,4,3,1,4,,4,2,4,3,3,38,1,,40458366,0,multiple
2025-04-03 21:21:16,2025-04-03 21:25:01,0,38.209.39.154,100,225,1,2025-04-03 21:25:02,R_6wTSwTHx6rWSkwI,,,,,40.3437,-94.8787,anonymous,EN,2,3,3,1,1,5,5,7,1,"4,6",,5,5,1,0,6,,2,1,1,1,1,40,1,,13713192,0,multiple
2025-04-03 21:22:08,2025-04-03 21:26:07,0,104.129.199.51,100,238,1,2025-04-03 21:26:07,R_7bH41T8ienGcPDO,,,,,34.0544,-118.244,anonymous,EN,3,6,4,3,3,2,2,3,5,6,,5,2,3,0,7,i was wondering about the reason for the homogenous demographic,2,2,4,4,4,50,1,,71816141,0,multiple
2025-04-03 21:20:54,2025-04-03 21:26:57,0,73.16.207.2,100,363,1,2025-04-03 21:26:58,R_7DD3p1REayk9SPg,,,,,42.2546,-71.4564,anonymous,EN,2,2,3,3,4,5,3,6,"1,4",4,,5,3,3,0,6,,3,1,1,3,1,40,2,,61406622,0,multiple
2025-04-03 21:21:23,2025-04-03 21:27:03,0,24.102.69.34,100,339,1,2025-04-03 21:27:03,R_615hM0opL9c8vJc,,,,,40.7787,-73.9132,anonymous,EN,3,1,1,2,1,2,1,7,"1,4",6,,2,1,1,0,6,,1,1,1,1,1,70,1,,82635115,1,single
2025-04-03 21:25:20,2025-04-03 21:28:10,0,107.131.145.149,100,169,1,2025-04-03 21:28:10,R_5ez9gQWeYZHRb6U,,,,,41.3421,-88.8426,anonymous,EN,1,1,4,1,1,5,5,7,"1,4",6,,5,2,1,0,6,,1,1,1,1,1,43,1,,76234084,1,single
2025-04-03 21:22:27,2025-04-03 21:28:16,0,65.128.234.29,100,348,1,2025-04-03 21:28:16,R_7uq7otruONtnL5D,,,,,45.0196,-93.2402,anonymous,EN,5,7,5,5,5,5,2,7,"1,4",7,That is is similar to its competitors.,5,5,4,0,6,,5,2,4,5,3,61,1,,11724120,0,multiple
2025-04-03 21:25:51,2025-04-03 21:28:16,0,108.39.230.84,100,144,1,2025-04-03 21:28:16,R_7NLqs4tXWO8QKdt,,,,,40.4012,-80.0913,anonymous,EN,1,1,1,1,1,1,1,1,5,6,,1,1,1,0,6,,1,1,1,1,1,44,1,,97799202,1,single
2025-04-03 21:25:04,2025-04-03 21:28:22,0,99.188.196.40,100,198,1,2025-04-03 21:28:22,R_1dfW8GmTCXKRizp,,,,,35.3787,-81.379,anonymous,EN,2,2,1,1,1,1,1,1,5,"4,6",,1,1,1,0,4,,1,1,1,1,1,23,1,,51125326,0,multiple
2025-04-03 21:25:23,2025-04-03 21:28:40,0,104.255.98.75,100,196,1,2025-04-03 21:28:40,R_3ODD9RyotpgQBnm,,,,,26.1948,-98.1836,anonymous,EN,3,1,3,1,1,1,1,1,5,6,,1,1,1,0,6,,1,1,1,1,1,45,1,,95367727,1,single
2025-04-03 21:24:14,2025-04-03 21:29:48,0,35.150.194.130,100,333,1,2025-04-03 21:29:48,R_5Ld5nP9r0DIHKQh,,,,,36.5818,-87.4162,anonymous,EN,4,3,4,5,5,5,4,5,1,2,,1,5,4,1,2,,1,1,4,4,4,57,2,,63125497,1,single
2025-04-03 21:28:18,2025-04-03 21:30:50,0,174.168.134.10,100,152,1,2025-04-03 21:30:51,R_3TMdzZ70AY4xvve,,,,,42.2463,-70.9972,anonymous,EN,2,1,4,2,3,2,3,2,"1,4",6,,1,4,1,0,6,,1,1,2,2,2,33,2,,96929199,1,single
2025-04-03 21:24:58,2025-04-03 21:33:07,0,47.156.83.60,100,488,1,2025-04-03 21:33:07,R_7UsmO0ZwJaFHFQt,,,,,33.8308,-118.1125,anonymous,EN,3,4,3,4,3,2,5,3,1,"4,6",,3,3,2,0,6,,2,1,4,4,3,54,1,,39039701,1,single
2025-04-03 21:31:51,2025-04-03 21:33:15,0,98.116.159.72,100,83,1,2025-04-03 21:33:15,R_5xTStqtUJu4tqyl,,,,,40.7513,-73.8244,anonymous,EN,2,4,2,2,3,3,3,2,5,6,,3,2,1,0,6,,2,1,2,2,2,33,1,,31621289,0,multiple
2025-04-03 21:26:04,2025-04-03 21:33:41,0,76.117.88.25,100,456,1,2025-04-03 21:33:42,R_6v0wb4WvH0Yjwb9,,,,,39.3774,-74.5612,anonymous,EN,5,4,3,4,3,7,2,6,"1,4","4,5,6",,5,5,2,0,6,,2,1,2,2,1,40,2,,65373529,0,multiple
2025-04-03 21:28:11,2025-04-03 21:34:32,0,73.251.76.170,100,380,1,2025-04-03 21:34:32,R_7SDE8B4swF35stP,,,,,37.3825,-79.2181,anonymous,EN,4,4,4,4,4,4,4,4,"2,3","2,3",,4,4,4,0,4,,4,4,4,4,4,37,2,,84597941,1,single
2025-04-03 21:35:02,2025-04-03 21:35:40,0,98.149.15.211,100,37,1,2025-04-03 21:35:41,R_3d5geXENp36n77n,,,,,33.7518,-117.9932,anonymous,EN,5,4,4,5,6,5,4,4,"1,4","2,4",,3,3,3,0,2,,4,4,5,5,4,23,2,,86003748,0,multiple
2025-04-03 21:34:06,2025-04-03 21:37:57,0,172.59.73.99,100,231,1,2025-04-03 21:37:59,R_5Rb97ENHi9vTFaw,,,,,39.1134,-94.674,anonymous,EN,2,2,2,2,2,2,2,1,5,"4,6",,2,2,1,0,6,,1,1,1,1,1,43,2,,91150569,1,single
2025-04-03 21:36:09,2025-04-03 21:38:14,0,35.150.169.184,100,124,1,2025-04-03 21:38:14,R_71bFykZ6PpGx7kZ,,,,,44.252,-85.4012,anonymous,EN,3,6,2,3,3,2,2,5,"1,4","4,6",,3,4,3,0,6,,2,1,3,1,1,48,1,,15654603,1,single
2025-04-03 21:34:59,2025-04-03 21:40:10,0,174.160.191.181,100,311,1,2025-04-03 21:40:11,R_7lsLjd6LVFsb8NO,,,,,38.5879,-121.4053,anonymous,EN,7,2,7,7,7,7,7,7,2,1,,5,7,7,1,1,,7,7,7,7,7,49,2,,55879631,1,single
2025-04-03 21:37:07,2025-04-03 21:42:22,0,107.77.202.150,100,314,1,2025-04-03 21:42:22,R_1PNgWbWJti0FYid,,,,,38.6879,-77.2978,anonymous,EN,6,7,5,6,6,7,6,7,"1,4","1,2,3",,6,6,5,0,5,,4,4,6,6,6,47,2,,13121508,0,multiple
2025-04-03 21:16:38,2025-04-03 21:43:02,0,98.97.118.172,100,1583,1,2025-04-03 21:43:02,R_1HY4yPEkEqgO5hf,,,,,33.4532,-112.0748,anonymous,EN,5,4,2,4,3,3,3,4,5,7,I thought some of the placement of the bar was weird and distracting at times.,5,3,4,0,7,Neither options,3,3,4,4,4,43,2,,70052686,0,multiple
